,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,236670,Wired Headphones,2,11.99,08/31/19 22:21,"359 Spruce St, Seattle, WA 98101"
1,236671,Bose SoundSport Headphones,1,99.99,08/15/19 15:11,"492 Ridge St, Dallas, TX 75001"
2,236672,iPhone,1,700.0,08/06/19 14:40,"149 7th St, Portland, OR 97035"
3,236673,AA Batteries (4-pack),2,3.84,08/29/19 20:59,"631 2nd St, Los Angeles, CA 90001"
4,236674,AA Batteries (4-pack),2,3.84,08/15/19 19:53,"736 14th St, New York City, NY 10001"
5,236675,Wired Headphones,1,11.99,08/02/19 23:54,"470 Hill St, San Francisco, CA 94016"
6,236676,34in Ultrawide Monitor,1,379.99,08/04/19 19:52,"470 Cherry St, Los Angeles, CA 90001"
7,236677,20in Monitor,1,109.99,08/13/19 07:16,"918 6th St, San Francisco, CA 94016"
8,236678,Wired Headphones,1,11.99,08/25/19 20:11,"58 9th St, San Francisco, CA 94016"
9,236679,Macbook Pro Laptop,1,1700.0,08/07/19 15:43,"239 Spruce St, Los Angeles, CA 90001"
10,236680,LG Washing Machine,1,600.0,08/09/19 19:38,"967 Willow St, San Francisco, CA 94016"
11,236681,AA Batteries (4-pack),1,3.84,08/26/19 20:52,"295 1st St, Boston, MA 02215"
12,236682,AA Batteries (4-pack),1,3.84,08/19/19 12:40,"118 Johnson St, Portland, OR 97035"
13,236683,27in FHD Monitor,1,149.99,08/31/19 15:47,"196 West St, Dallas, TX 75001"
14,236684,Lightning Charging Cable,1,14.95,08/09/19 16:50,"669 12th St, New York City, NY 10001"
15,236685,Apple Airpods Headphones,1,150.0,08/23/19 19:29,"238 Highland St, Atlanta, GA 30301"
16,236686,AAA Batteries (4-pack),1,2.99,08/15/19 19:13,"766 Maple St, Dallas, TX 75001"
17,236687,USB-C Charging Cable,1,11.95,08/23/19 12:54,"668 Meadow St, New York City, NY 10001"
18,236688,34in Ultrawide Monitor,1,379.99,08/08/19 16:06,"821 7th St, Los Angeles, CA 90001"
