,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,150502,iPhone,1,700,02/18/19 01:35,"866 Spruce St, Portland, ME 04101"
1,150503,AA Batteries (4-pack),1,3.84,02/13/19 07:24,"18 13th St, San Francisco, CA 94016"
2,150504,27in 4K Gaming Monitor,1,389.99,02/18/19 09:46,"52 6th St, New York City, NY 10001"
3,150505,Lightning Charging Cable,1,14.95,02/02/19 16:47,"129 Cherry St, Atlanta, GA 30301"
4,150506,AA Batteries (4-pack),2,3.84,02/28/19 20:32,"548 Lincoln St, Seattle, WA 98101"
5,150507,Lightning Charging Cable,1,14.95,02/24/19 18:50,"387 12th St, Austin, TX 73301"
6,150508,AA Batteries (4-pack),1,3.84,02/21/19 19:26,"622 Center St, San Francisco, CA 94016"
7,150509,Apple Airpods Headphones,1,150,02/26/19 19:53,"921 6th St, Seattle, WA 98101"
8,150510,USB-C Charging Cable,1,11.95,02/17/19 21:48,"451 2nd St, Los Angeles, CA 90001"
9,150511,USB-C Charging Cable,1,11.95,02/22/19 07:36,"689 River St, San Francisco, CA 94016"
10,150512,Bose SoundSport Headphones,1,99.99,02/17/19 18:29,"198 Center St, Los Angeles, CA 90001"
11,150513,Bose SoundSport Headphones,1,99.99,02/25/19 20:49,"777 Spruce St, Los Angeles, CA 90001"
12,150514,27in FHD Monitor,1,149.99,02/03/19 00:21,"723 Wilson St, Los Angeles, CA 90001"
13,150515,Apple Airpods Headphones,1,150,02/18/19 14:53,"101 13th St, New York City, NY 10001"
14,150516,Lightning Charging Cable,1,14.95,02/20/19 12:29,"303 Sunset St, Atlanta, GA 30301"
15,150517,Wired Headphones,1,11.99,02/08/19 12:57,"471 13th St, San Francisco, CA 94016"
16,150518,Macbook Pro Laptop,1,1700,02/26/19 12:38,"847 10th St, San Francisco, CA 94016"
17,150518,iPhone,1,700,02/26/19 12:38,"847 10th St, San Francisco, CA 94016"
18,150519,Wired Headphones,1,11.99,02/23/19 13:25,"111 Hill St, Dallas, TX 75001"
19,150520,AA Batteries (4-pack),2,3.84,02/27/19 14:39,"512 Church St, Dallas, TX 75001"
20,150521,Flatscreen TV,1,300,02/27/19 20:07,"588 1st St, Los Angeles, CA 90001"
21,150522,20in Monitor,1,109.99,02/12/19 00:00,"633 Cherry St, Boston, MA 02215"
22,150523,LG Dryer,1,600.0,02/27/19 20:24,"452 8th St, San Francisco, CA 94016"
23,150524,Wired Headphones,1,11.99,02/28/19 13:47,"311 8th St, Austin, TX 73301"
24,150525,20in Monitor,1,109.99,02/25/19 09:38,"874 Jefferson St, San Francisco, CA 94016"
25,150526,AAA Batteries (4-pack),1,2.99,02/15/19 11:31,"85 Park St, Boston, MA 02215"
26,150527,USB-C Charging Cable,1,11.95,02/07/19 14:33,"165 Jefferson St, Los Angeles, CA 90001"
27,150528,AAA Batteries (4-pack),2,2.99,02/26/19 23:17,"426 Lake St, Los Angeles, CA 90001"
28,150529,AA Batteries (4-pack),4,3.84,02/11/19 13:10,"116 Elm St, Seattle, WA 98101"
29,150530,ThinkPad Laptop,1,999.99,02/05/19 14:19,"752 Park St, Los Angeles, CA 90001"
30,150531,USB-C Charging Cable,1,11.95,02/28/19 18:16,"457 Maple St, Los Angeles, CA 90001"
31,150532,USB-C Charging Cable,1,11.95,02/04/19 22:57,"645 Walnut St, San Francisco, CA 94016"
32,150533,AAA Batteries (4-pack),1,2.99,03/01/19 03:06,"270 Dogwood St, San Francisco, CA 94016"
33,150534,AAA Batteries (4-pack),2,2.99,02/12/19 22:02,"246 9th St, Los Angeles, CA 90001"
34,150535,AAA Batteries (4-pack),1,2.99,02/21/19 11:46,"961 2nd St, San Francisco, CA 94016"
35,150536,Wired Headphones,1,11.99,02/13/19 22:43,"134 8th St, Los Angeles, CA 90001"
36,150537,Wired Headphones,1,11.99,02/23/19 13:31,"437 12th St, San Francisco, CA 94016"
37,150538,Apple Airpods Headphones,1,150,02/22/19 17:28,"553 12th St, Atlanta, GA 30301"
38,150539,AA Batteries (4-pack),2,3.84,02/18/19 16:46,"103 14th St, San Francisco, CA 94016"
39,150540,Apple Airpods Headphones,1,150,02/18/19 15:23,"218 Ridge St, Atlanta, GA 30301"
40,150541,AAA Batteries (4-pack),1,2.99,03/01/19 01:03,"683 Adams St, Portland, OR 97035"
41,150542,AA Batteries (4-pack),1,3.84,02/02/19 19:46,"517 10th St, Austin, TX 73301"
42,150543,Wired Headphones,1,11.99,02/08/19 09:21,"268 Sunset St, Boston, MA 02215"
43,150544,Lightning Charging Cable,1,14.95,02/10/19 17:19,"723 Elm St, Los Angeles, CA 90001"
44,150545,Macbook Pro Laptop,1,1700,02/25/19 20:35,"905 Meadow St, Atlanta, GA 30301"
45,150546,AAA Batteries (4-pack),1,2.99,02/07/19 14:01,"43 1st St, Atlanta, GA 30301"
46,150547,AAA Batteries (4-pack),1,2.99,02/06/19 17:51,"511 Washington St, San Francisco, CA 94016"
47,150548,Macbook Pro Laptop,1,1700,02/18/19 22:56,"750 Forest St, Boston, MA 02215"
48,150549,iPhone,1,700,02/05/19 20:33,"522 West St, Boston, MA 02215"
49,150550,ThinkPad Laptop,1,999.99,02/17/19 14:45,"261 Washington St, Los Angeles, CA 90001"
50,150551,27in 4K Gaming Monitor,1,389.99,02/02/19 08:25,"726 West St, Seattle, WA 98101"
51,150552,Wired Headphones,1,11.99,02/21/19 19:06,"954 13th St, Boston, MA 02215"
52,150553,34in Ultrawide Monitor,1,379.99,02/20/19 21:42,"700 1st St, Dallas, TX 75001"
53,150554,AA Batteries (4-pack),1,3.84,02/12/19 06:49,"33 Johnson St, New York City, NY 10001"
54,150555,27in FHD Monitor,1,149.99,02/18/19 11:27,"714 Adams St, Portland, OR 97035"
55,150556,Lightning Charging Cable,1,14.95,02/10/19 13:25,"419 Hill St, Los Angeles, CA 90001"
56,150557,AA Batteries (4-pack),2,3.84,02/22/19 21:41,"372 5th St, Seattle, WA 98101"
57,150558,Wired Headphones,1,11.99,02/04/19 16:09,"864 Hickory St, Boston, MA 02215"
58,150559,Apple Airpods Headphones,1,150,02/07/19 23:41,"506 Willow St, Boston, MA 02215"
59,150560,Apple Airpods Headphones,1,150,02/05/19 14:29,"178 14th St, San Francisco, CA 94016"
60,150561,Wired Headphones,1,11.99,02/22/19 17:55,"888 Jefferson St, New York City, NY 10001"
61,150562,27in 4K Gaming Monitor,1,389.99,02/16/19 20:07,"663 1st St, Atlanta, GA 30301"
