,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,222910,Apple Airpods Headphones,1,150,07/26/19 16:51,"389 South St, Atlanta, GA 30301"
1,222911,Flatscreen TV,1,300,07/05/19 08:55,"590 4th St, Seattle, WA 98101"
2,222912,AA Batteries (4-pack),1,3.84,07/29/19 12:41,"861 Hill St, Atlanta, GA 30301"
3,222913,AA Batteries (4-pack),1,3.84,07/28/19 10:15,"190 Ridge St, Atlanta, GA 30301"
4,222914,AAA Batteries (4-pack),5,2.99,07/31/19 02:13,"824 Forest St, Seattle, WA 98101"
5,222915,Bose SoundSport Headphones,1,99.99,07/03/19 18:30,"899 Elm St, San Francisco, CA 94016"
6,222916,Google Phone,1,600,07/21/19 22:39,"745 Chestnut St, New York City, NY 10001"
7,222917,LG Dryer,1,600.0,07/17/19 13:44,"490 Adams St, New York City, NY 10001"
8,222918,USB-C Charging Cable,1,11.95,07/14/19 21:16,"207 1st St, Los Angeles, CA 90001"
9,222919,Lightning Charging Cable,1,14.95,07/14/19 13:24,"29 Jefferson St, Dallas, TX 75001"
10,222920,AA Batteries (4-pack),1,3.84,07/30/19 04:42,"590 6th St, San Francisco, CA 94016"
11,222921,Lightning Charging Cable,1,14.95,07/02/19 11:04,"960 Willow St, San Francisco, CA 94016"
12,222922,34in Ultrawide Monitor,1,379.99,07/20/19 21:12,"616 Chestnut St, Dallas, TX 75001"
13,222923,AAA Batteries (4-pack),1,2.99,07/05/19 12:16,"105 Johnson St, Los Angeles, CA 90001"
14,222924,Bose SoundSport Headphones,1,99.99,07/13/19 20:46,"444 Spruce St, San Francisco, CA 94016"
15,222925,Apple Airpods Headphones,1,150,07/09/19 02:59,"764 Adams St, San Francisco, CA 94016"
16,222926,Lightning Charging Cable,2,14.95,07/15/19 17:44,"577 Lakeview St, Los Angeles, CA 90001"
17,222927,Wired Headphones,1,11.99,07/31/19 20:34,"244 Washington St, Los Angeles, CA 90001"
18,222928,Google Phone,1,600,07/15/19 17:18,"524 Cherry St, San Francisco, CA 94016"
19,222929,Vareebadd Phone,1,400,07/04/19 19:46,"882 Hickory St, Boston, MA 02215"
20,222930,Lightning Charging Cable,1,14.95,07/20/19 20:57,"826 River St, San Francisco, CA 94016"
21,222931,USB-C Charging Cable,1,11.95,07/18/19 09:21,"145 Pine St, Boston, MA 02215"
22,222932,Wired Headphones,1,11.99,07/24/19 17:32,"386 Cedar St, Los Angeles, CA 90001"
23,222933,LG Dryer,1,600.0,07/30/19 13:20,"76 2nd St, Los Angeles, CA 90001"
24,222934,AA Batteries (4-pack),2,3.84,07/03/19 23:51,"437 River St, Seattle, WA 98101"
25,222935,AAA Batteries (4-pack),1,2.99,07/23/19 12:20,"118 9th St, San Francisco, CA 94016"
26,222936,27in FHD Monitor,1,149.99,07/04/19 12:29,"483 West St, Boston, MA 02215"
27,222937,Lightning Charging Cable,2,14.95,07/03/19 09:01,"538 North St, San Francisco, CA 94016"
28,222938,Flatscreen TV,1,300,07/20/19 17:49,"523 Hickory St, Dallas, TX 75001"
29,222939,Apple Airpods Headphones,1,150,07/17/19 21:53,"597 Madison St, Los Angeles, CA 90001"
30,222940,Wired Headphones,2,11.99,07/05/19 15:06,"779 Maple St, San Francisco, CA 94016"
31,222941,Apple Airpods Headphones,1,150,07/02/19 05:48,"631 Willow St, San Francisco, CA 94016"
32,222942,Lightning Charging Cable,1,14.95,07/07/19 10:00,"424 Church St, Portland, OR 97035"
33,222943,Lightning Charging Cable,1,14.95,07/20/19 23:39,"575 4th St, Seattle, WA 98101"
34,222944,27in FHD Monitor,1,149.99,07/07/19 22:52,"70 Meadow St, San Francisco, CA 94016"
35,222945,Wired Headphones,1,11.99,07/21/19 21:51,"191 Dogwood St, Los Angeles, CA 90001"
36,222946,20in Monitor,1,109.99,07/14/19 22:19,"49 Park St, New York City, NY 10001"
37,222947,ThinkPad Laptop,1,999.99,07/16/19 09:15,"612 Spruce St, New York City, NY 10001"
38,222948,USB-C Charging Cable,1,11.95,07/10/19 08:18,"631 12th St, San Francisco, CA 94016"
39,222949,USB-C Charging Cable,1,11.95,07/28/19 17:24,"902 Cedar St, Dallas, TX 75001"
40,222950,Lightning Charging Cable,1,14.95,07/17/19 19:05,"358 1st St, Dallas, TX 75001"
41,222951,Apple Airpods Headphones,1,150,07/08/19 12:34,"781 Maple St, San Francisco, CA 94016"
42,222952,Lightning Charging Cable,1,14.95,07/06/19 16:01,"879 Park St, San Francisco, CA 94016"
43,222953,Lightning Charging Cable,1,14.95,07/31/19 02:56,"109 Highland St, Los Angeles, CA 90001"
44,222954,AA Batteries (4-pack),2,3.84,07/14/19 18:11,"980 Chestnut St, Dallas, TX 75001"
45,222955,USB-C Charging Cable,1,11.95,07/01/19 14:27,"117 Lake St, Los Angeles, CA 90001"
46,222956,27in 4K Gaming Monitor,1,389.99,07/11/19 20:18,"525 6th St, Atlanta, GA 30301"
47,222957,AAA Batteries (4-pack),1,2.99,07/19/19 10:11,"143 5th St, Portland, OR 97035"
48,222958,AAA Batteries (4-pack),1,2.99,07/26/19 21:00,"777 5th St, Dallas, TX 75001"
49,222959,ThinkPad Laptop,1,999.99,07/15/19 13:07,"252 River St, Dallas, TX 75001"
50,222960,Lightning Charging Cable,1,14.95,07/11/19 08:44,"638 Dogwood St, San Francisco, CA 94016"
51,222961,Lightning Charging Cable,1,14.95,07/04/19 05:44,"840 5th St, Dallas, TX 75001"
52,222962,Wired Headphones,1,11.99,07/20/19 09:20,"694 Cherry St, Seattle, WA 98101"
53,222963,USB-C Charging Cable,1,11.95,07/29/19 09:11,"734 Elm St, Boston, MA 02215"
54,222964,Macbook Pro Laptop,1,1700,07/24/19 20:18,"601 Lake St, Boston, MA 02215"
55,222965,AAA Batteries (4-pack),2,2.99,07/07/19 12:06,"792 Cedar St, San Francisco, CA 94016"
56,222966,AA Batteries (4-pack),2,3.84,07/13/19 01:01,"718 7th St, Seattle, WA 98101"
57,222967,20in Monitor,1,109.99,07/14/19 11:58,"161 13th St, San Francisco, CA 94016"
58,222968,AA Batteries (4-pack),1,3.84,07/24/19 15:32,"536 14th St, San Francisco, CA 94016"
59,222969,AAA Batteries (4-pack),1,2.99,07/05/19 17:00,"248 Johnson St, San Francisco, CA 94016"
60,222970,AAA Batteries (4-pack),1,2.99,07/09/19 11:08,"594 Church St, Atlanta, GA 30301"
61,222971,Apple Airpods Headphones,1,150,07/05/19 14:49,"444 Spruce St, Austin, TX 73301"
62,222972,Wired Headphones,1,11.99,07/09/19 09:17,"917 Madison St, Seattle, WA 98101"
63,222973,Flatscreen TV,1,300,07/18/19 14:40,"509 Hickory St, Seattle, WA 98101"
64,222974,Lightning Charging Cable,1,14.95,07/09/19 19:51,"112 Wilson St, Los Angeles, CA 90001"
65,222975,Wired Headphones,1,11.99,07/19/19 16:15,"541 Hickory St, Los Angeles, CA 90001"
66,222976,Lightning Charging Cable,1,14.95,07/17/19 10:14,"390 1st St, Los Angeles, CA 90001"
67,222977,Lightning Charging Cable,1,14.95,07/14/19 22:07,"660 Walnut St, Los Angeles, CA 90001"
68,222978,AAA Batteries (4-pack),2,2.99,07/04/19 12:23,"941 Willow St, Seattle, WA 98101"
69,222979,Bose SoundSport Headphones,1,99.99,07/11/19 23:59,"844 Center St, Seattle, WA 98101"
70,222980,Bose SoundSport Headphones,1,99.99,07/13/19 11:16,"519 Park St, Atlanta, GA 30301"
71,222981,USB-C Charging Cable,1,11.95,07/26/19 00:40,"791 9th St, Austin, TX 73301"
72,222982,Flatscreen TV,1,300,07/28/19 12:40,"651 Ridge St, Portland, OR 97035"
73,222983,Lightning Charging Cable,1,14.95,07/16/19 00:06,"639 Spruce St, Boston, MA 02215"
74,222984,USB-C Charging Cable,1,11.95,07/29/19 21:50,"305 Johnson St, Austin, TX 73301"
75,222985,Bose SoundSport Headphones,1,99.99,07/21/19 12:41,"846 Lake St, Dallas, TX 75001"
76,222986,Lightning Charging Cable,1,14.95,07/05/19 11:13,"313 Forest St, San Francisco, CA 94016"
77,222987,AAA Batteries (4-pack),1,2.99,07/31/19 16:56,"538 1st St, New York City, NY 10001"
78,222988,Lightning Charging Cable,1,14.95,07/04/19 09:44,"647 Meadow St, Dallas, TX 75001"
79,222989,Lightning Charging Cable,1,14.95,07/07/19 20:53,"48 Walnut St, Dallas, TX 75001"
80,222990,AAA Batteries (4-pack),2,2.99,07/19/19 18:33,"419 Jackson St, New York City, NY 10001"
81,222991,27in FHD Monitor,1,149.99,07/05/19 10:06,"450 8th St, Los Angeles, CA 90001"
82,222992,AA Batteries (4-pack),1,3.84,07/05/19 18:49,"779 Washington St, San Francisco, CA 94016"
83,222993,AAA Batteries (4-pack),1,2.99,07/25/19 21:40,"697 Adams St, Los Angeles, CA 90001"
84,222994,USB-C Charging Cable,1,11.95,07/10/19 18:59,"251 Cedar St, New York City, NY 10001"
85,222995,34in Ultrawide Monitor,1,379.99,07/27/19 16:15,"837 Park St, San Francisco, CA 94016"
86,222996,27in FHD Monitor,1,149.99,07/12/19 16:53,"885 Sunset St, Los Angeles, CA 90001"
87,222997,AAA Batteries (4-pack),1,2.99,07/21/19 16:44,"619 Willow St, New York City, NY 10001"
88,222998,Lightning Charging Cable,1,14.95,07/28/19 03:41,"38 Lakeview St, Boston, MA 02215"
89,222999,Flatscreen TV,1,300,07/29/19 17:17,"615 Cherry St, Seattle, WA 98101"
90,223000,AAA Batteries (4-pack),1,2.99,07/19/19 20:29,"670 10th St, Atlanta, GA 30301"
91,223001,Apple Airpods Headphones,1,150,07/29/19 11:56,"978 10th St, San Francisco, CA 94016"
92,223002,AA Batteries (4-pack),1,3.84,07/13/19 18:48,"603 12th St, Dallas, TX 75001"
93,223003,Lightning Charging Cable,1,14.95,07/09/19 17:51,"18 Jefferson St, San Francisco, CA 94016"
94,223004,AAA Batteries (4-pack),1,2.99,07/14/19 02:43,"911 Spruce St, San Francisco, CA 94016"
95,223005,27in FHD Monitor,1,149.99,07/26/19 21:39,"306 Lake St, Austin, TX 73301"
96,223006,Lightning Charging Cable,1,14.95,07/22/19 16:50,"499 Park St, Los Angeles, CA 90001"
97,223007,Bose SoundSport Headphones,1,99.99,07/06/19 11:07,"481 10th St, Portland, OR 97035"
98,223008,AAA Batteries (4-pack),3,2.99,07/12/19 00:54,"289 13th St, Boston, MA 02215"
99,223009,Apple Airpods Headphones,1,150,07/28/19 07:59,"152 9th St, Boston, MA 02215"
100,223010,AAA Batteries (4-pack),1,2.99,07/18/19 12:17,"518 Wilson St, Boston, MA 02215"
101,223011,Apple Airpods Headphones,1,150,07/09/19 17:19,"87 Sunset St, San Francisco, CA 94016"
102,223012,Bose SoundSport Headphones,1,99.99,07/13/19 10:10,"233 12th St, Austin, TX 73301"
103,223013,AAA Batteries (4-pack),2,2.99,07/27/19 14:11,"289 8th St, New York City, NY 10001"
104,223014,Wired Headphones,1,11.99,07/10/19 17:43,"421 Highland St, Atlanta, GA 30301"
105,223015,Bose SoundSport Headphones,1,99.99,07/26/19 14:47,"605 Johnson St, San Francisco, CA 94016"
106,223016,USB-C Charging Cable,1,11.95,07/20/19 08:42,"700 Church St, New York City, NY 10001"
107,223017,AAA Batteries (4-pack),2,2.99,07/02/19 22:09,"773 Hickory St, San Francisco, CA 94016"
108,223018,ThinkPad Laptop,1,999.99,07/04/19 08:39,"767 Adams St, Los Angeles, CA 90001"
109,223019,AAA Batteries (4-pack),2,2.99,07/29/19 13:49,"788 Hill St, Dallas, TX 75001"
110,223020,27in FHD Monitor,1,149.99,07/08/19 10:08,"296 9th St, Boston, MA 02215"
111,223021,AAA Batteries (4-pack),1,2.99,07/07/19 11:31,"657 10th St, Los Angeles, CA 90001"
112,223022,Lightning Charging Cable,1,14.95,07/31/19 17:45,"93 Madison St, Atlanta, GA 30301"
113,223023,Bose SoundSport Headphones,1,99.99,07/01/19 18:12,"268 Meadow St, San Francisco, CA 94016"
114,223024,AAA Batteries (4-pack),2,2.99,07/23/19 14:04,"91 Jefferson St, Dallas, TX 75001"
115,223025,AA Batteries (4-pack),1,3.84,07/23/19 00:58,"142 Pine St, San Francisco, CA 94016"
116,223026,Wired Headphones,1,11.99,07/25/19 12:49,"47 Pine St, San Francisco, CA 94016"
117,223027,AA Batteries (4-pack),1,3.84,07/11/19 16:29,"876 Center St, Austin, TX 73301"
118,223028,Vareebadd Phone,1,400,07/07/19 10:21,"969 10th St, San Francisco, CA 94016"
119,223028,USB-C Charging Cable,2,11.95,07/07/19 10:21,"969 10th St, San Francisco, CA 94016"
120,223028,Wired Headphones,1,11.99,07/07/19 10:21,"969 10th St, San Francisco, CA 94016"
121,223029,USB-C Charging Cable,1,11.95,07/18/19 11:15,"144 Adams St, New York City, NY 10001"
122,223030,Bose SoundSport Headphones,1,99.99,07/09/19 19:04,"704 13th St, Los Angeles, CA 90001"
123,223031,27in FHD Monitor,1,149.99,07/28/19 09:30,"445 Johnson St, Los Angeles, CA 90001"
124,223032,Apple Airpods Headphones,1,150,07/20/19 18:47,"8 Cherry St, Dallas, TX 75001"
