,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,248151,AA Batteries (4-pack),4,3.84,09/17/19 14:44,"380 North St, Los Angeles, CA 90001"
1,248152,USB-C Charging Cable,2,11.95,09/29/19 10:19,"511 8th St, Austin, TX 73301"
2,248153,USB-C Charging Cable,1,11.95,09/16/19 17:48,"151 Johnson St, Los Angeles, CA 90001"
3,248154,27in FHD Monitor,1,149.99,09/27/19 07:52,"355 Hickory St, Seattle, WA 98101"
4,248155,USB-C Charging Cable,1,11.95,09/01/19 19:03,"125 5th St, Atlanta, GA 30301"
5,248156,34in Ultrawide Monitor,1,379.99,09/13/19 14:59,"469 12th St, Los Angeles, CA 90001"
6,248157,Lightning Charging Cable,1,14.95,09/07/19 09:59,"773 Johnson St, Portland, ME 04101"
7,248158,Lightning Charging Cable,1,14.95,09/02/19 14:16,"682 Sunset St, Los Angeles, CA 90001"
8,248159,Vareebadd Phone,1,400.0,09/06/19 16:45,"664 Wilson St, New York City, NY 10001"
9,248160,Wired Headphones,1,11.99,09/01/19 22:03,"446 9th St, San Francisco, CA 94016"
10,248161,USB-C Charging Cable,1,11.95,09/24/19 16:26,"439 Spruce St, San Francisco, CA 94016"
11,248162,AAA Batteries (4-pack),3,2.99,09/14/19 12:52,"439 Walnut St, Seattle, WA 98101"
12,248163,USB-C Charging Cable,1,11.95,09/25/19 12:32,"41 North St, Portland, OR 97035"
13,248164,27in FHD Monitor,1,149.99,09/12/19 15:57,"88 9th St, San Francisco, CA 94016"
14,248165,Lightning Charging Cable,1,14.95,09/15/19 12:42,"585 Adams St, Atlanta, GA 30301"
15,248166,Apple Airpods Headphones,1,150.0,09/04/19 14:59,"21 9th St, Boston, MA 02215"
16,248167,Google Phone,1,600.0,09/02/19 18:52,"711 Forest St, San Francisco, CA 94016"
17,248168,USB-C Charging Cable,1,11.95,09/30/19 18:59,"219 Hickory St, San Francisco, CA 94016"
18,248169,20in Monitor,1,109.99,09/24/19 19:40,"140 Ridge St, San Francisco, CA 94016"
